surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,rectal_examination,packed_cell_volume,total_protein,abdominocentesis_appearance,outcome,surgical_lesion
0,1,38.2,42,16,2,3,0,1,3,1,999,999,2,35,60,1,1,0
0,1,38,56,44,3,2,999,999,1,1,2,1,4,47,70,2,1,0
0,1,38.3,45,20,3,2,1,2,4,1,2,999,4,999,999,999,1,0
1,1,999,48,96,2,3,0,999,4,1,2,1,2,42,8,1,1,1
1,1,37.7,55,28,1,3,0,2,3,3,999,2,4,999,999,999,1,1
0,1,36,100,20,4,2,1,2,4,3,1,1,4,74,5.7,2,3,1
1,1,37.1,60,20,1,999,0,3,999,3,999,3,3,64,8.5,2,1,1
0,1,37.1,114,40,3,999,1,2,2,1,999,999,999,32,999,3,1,0
1,1,38.1,72,30,3,2,0,4,4,3,2,1,3,37,56,3,1,1
1,1,37,44,12,3,3,1,1,1,1,999,999,4,40,6.7,3,1,1
1,1,38.6,48,20,3,3,0,4,3,1,999,999,3,37,75,999,1,1
1,1,999,82,72,3,3,0,2,3,3,999,2,4,53,65,3,3,1
1,0,38.2,78,60,4,1,999,3,3,3,999,999,2,59,5.8,3,2,1
0,1,37.8,60,16,2,3,0,2,3,2,1,3,3,41,73,999,3,0
1,1,38.7,34,30,1,999,0,2,3,999,999,999,999,33,69,999,3,1
1,1,999,36,12,2,3,0,1,2,1,1,1,2,44,999,999,1,1
0,1,38.3,44,60,999,999,0,999,999,999,999,999,999,6.4,36,999,1,1
0,1,37.4,54,18,3,999,0,3,4,3,2,3,4,30,7.1,2,1,1
1,1,999,999,999,4,2,1,2,4,1,999,999,999,54,76,3,1,1
1,1,36.6,48,16,3,3,0,4,1,1,1,1,999,27,56,999,3,1
1,1,38.5,90,999,2,3,0,3,3,3,2,2,4,47,79,999,1,1
1,1,999,75,12,2,3,0,5,3,3,999,2,999,58,8.5,1,1,1
0,1,38.2,42,999,3,3,0,1,1,2,2,1,3,35,5.9,2,1,0
1,0,38.2,78,60,4,1,999,3,3,3,999,999,2,59,5.8,3,2,1
0,1,38.6,60,30,2,3,0,4,2,2,1,1,999,40,6,1,1,1
0,1,37.8,42,40,2,3,0,1,3,1,999,999,3,36,6.2,999,1,0
1,1,38,60,12,2,3,0,2,1,1,1,1,2,44,65,3,3,1
0,1,38,42,12,3,999,0,1,1,1,999,999,999,37,5.8,999,1,0
0,1,37.6,88,36,3,3,0,3,3,2,1,2,999,44,6,999,2,1
